"Label","Xvalue","Yvalue"
"D213",2.03501,0.820631206036
"D214",7.71674,1.23386573792
"D215",3.80217,0.820631206036
"MET",-4.34875,1.08877432346
"RIF",-31.1127,6.6921582222
"STREP",-28.6085,5.38609647751
"D188",-22.1227,4.76636314392
"D189",3.42497,0.905977070332
"D190",-56.5812,14.6842622757
"D191",5.84772,1.4968495369
"D192",-15.826,3.17824745178
"D193",-8.69982,1.93169653416
"D194",-8.5958,1.37434315681
"D195",1.08244,0.725004315376
"D196",-20.2446,5.30898618698
"D197",6.79812,1.36663174629
"INH",-44.2894,10.9656858444
"MET",-45.7603,14.7041883469
"RIF",-69.7075,18.7340812683
"STREP",-57.2695,17.2705097198
"D295",-2.82172,0.940771222115
"D296",8.5342,1.54387390614
"D297",14.2086,2.40630364418
"D298",6.88256,1.3484941721
"D299",-3.52922,0.980767130852
"D300",6.94492,1.48173797131
"D301",13.9927,2.25647711754
"D302",12.9774,1.84933674335
"D303",-48.022,9.89558887482
"D304",11.1826,1.36869120598
"D305",6.52152,1.25701451302
"D306",-28.0269,5.50688838959
"D307",-6.67051,1.37763655186
"D308",-55.4715,11.196893692
"INH",-67.1696,12.1264305115
"MET",-36.505,7.37421035767
"STREP",-60.5095,11.196893692
